Word,SemD
mowgli,3.760913249239593
lama,3.7342408759787964
sez,3.6791810131401883
av,3.6232761282958483
mulvaney,3.605099046713149
wid,3.604253087378164
ut,3.5441060482210376
bagheera,3.4852889726248213
mahbub,3.388855015790394
torpenhow,3.316057424501641
maisie,3.2690789022778035
en,3.2277087409508427
la,3.1988520450692484
stalky,3.0645304333796832
se,3.0496294031237223
ja,3.0413434351310493
kun,3.0233189308886304
ne,3.015205827143755
sen,2.9777044716376415
ole,2.9468860108342816
ei,2.9104818028860437
mutta,2.9104818028860437
oli,2.9104818028860437
niin,2.9063556006143454
kuin,2.9053240973151713
joka,2.9038523150313784
sitten,2.897785982078529
nyt,2.8960040606660016
sanoi,2.8876312598988516
capt,2.7805336747864247
kaj,0.7911293433425514
