Word,SemD,Word Probability
women,4.970455677330173,0.00045707671386430306
however,4.9607049635819855,0.000412314718437592
met,4.929656680057223,0.0006985393089126177
going,4.905364556327675,0.0003454869506174318
went,4.883523132475301,0.0003290952339822982
door,4.877099938126963,0.0004772511343383137
soul,4.875181904368812,0.0004671639241013084
looked,4.855585230695752,0.0003309865859017367
english,4.841264255232201,0.00033350838846098803
yes,4.831385485669521,0.0003662918217312553
room,4.825945234760593,0.00033224748718136234
book,4.782819608094345,0.0003763790319682606
en,4.77194530871556,0.004348218062789101
artist,4.769552173208587,0.0003952925511626455
henry,4.747287575279537,0.0008983921617332853
la,4.744968367178312,0.006718082017845536
die,4.739346826371799,0.0015710829944135768
des,4.735874262555185,0.002615739704583439
sir,4.722800100862301,0.0005837972924666822
gray,4.684080425153543,0.0007477144588180185
dorian,4.659503503760217,0.001589996513607962
le,4.659454179745765,0.005406114236395033
seemed,4.659395701598802,0.00035242190765537296
spirit,4.657073572106283,0.00033224748718136234
o,4.641217289894578,0.00035242190765537296
et,4.609394226471254,0.006640536589148558
miss,4.604907105255943,0.0003284647833424854
cried,4.551034437812387,0.000341073796138742
du,4.54444719570606,0.0020514863819509547
je,4.530124791587491,0.0026365445756972626
greek,4.521128607449338,0.0003467478518970575
dit,4.496279233954356,0.0006184720776563881
les,4.494863773220591,0.003759377165203916
shakespeare,4.488667362461794,0.0003284647833424854
prince,4.46708633457953,0.00032152982630454424
ne,4.4656739932555976,0.002263317796928066
pas,4.4503663998212035,0.0016864554614993252
se,4.428114534327395,0.0020495950300315163
pour,4.426804641504252,0.0015023638746739783
que,4.384086199800711,0.0034504563516956285
un,4.375170536184268,0.0027525474934228236
qui,4.360247999969857,0.0022387302219753656
il,4.352364278937369,0.003207732855367688
est,4.352259110230348,0.0016921295172576405
tout,4.342524585208856,0.0008788481918990875
dans,4.34219965165383,0.0020930961241786014
une,4.335174887512534,0.002068508549225901
sur,4.314805171246549,0.0012394659578720273
au,4.310035805770998,0.0009664808308330712
comme,4.310026587129941,0.0010206995858569746
mais,4.3054790963788605,0.001110223576710397
ce,4.298082673247813,0.0015099292823517322
par,4.295770729107459,0.000979089843629328
plus,4.286296941369459,0.0011865081041277496
y,4.279874334345091,0.0006695385794812273
basil,4.277995712808709,0.0006184720776563881
lui,4.277263223471087,0.0009500891141979376
harry,4.2722479888620395,0.0006670167769219761
si,4.270224428348265,0.0007098874204292486
quand,4.26695493722195,0.00044698950362729776
fait,4.264191000633079,0.0005699273783907999
sans,4.2618270155116305,0.0003732267787691964
avec,4.258759309458115,0.00088830495149628
sa,4.249852712531174,0.0010112428262597823
ses,4.248586707983604,0.0009116316251693549
nous,4.245625758563059,0.001199117116924006
bien,4.2391127639825,0.0006651254250025375
chose,4.228422930999623,0.00034926965445630884
faire,4.227133111978091,0.00032783433270267253
aux,4.224938196986331,0.0004816642888170035
sont,4.223026314276536,0.0005793841379879924
ou,4.22000431634065,0.0006317115410924575
cette,4.210052910211757,0.0005087736663289552
vie,4.209417579152201,0.0004577071645041159
aussi,4.204415218779237,0.0003505305557359345
jamais,4.198807289745357,0.00038898804476451723
elle,4.198275796359068,0.0008693914323018951
quelque,4.18806239673755,0.0003618786672525655
cela,4.1703766886012845,0.0004438372504282336
leur,4.160409457117174,0.00043248913891160264
thou,4.159235638579316,0.00041546697163665614
hallward,4.144260083671642,0.0003454869506174318
mon,4.143373376143871,0.0003883575941247044
ils,4.136025299384299,0.0004066406626792765
avait,4.133028840108389,0.0005882104469453721
vous,4.115136765314208,0.0016952817704567048
te,4.092843379250593,0.0012066825246017602
war,4.060405138212033,0.00034170424677855486
s,4.015491319639607,0.00040916246523852785
thy,3.9796450939687467,0.00034926965445630884
den,3.796351805744663,0.0008347166471121893
van,3.748292323916093,0.0017053689806937101
er,3.7461232426126183,0.0008889354021360929
als,3.68921926422586,0.0007578016690550238
der,3.5632124731083197,0.0008214771836761198
ja,3.561922952836997,0.0024303872164784667
haar,3.539375534242424,0.0003473783025368703
hem,3.4853662662132137,0.00043690229339029245
zij,3.4199373677595917,0.0005459702540779124
aan,3.4146643654096733,0.00036250911789237827
dat,3.4146643654096733,0.0010976145639141402
een,3.4146643654096733,0.0015729743463330154
het,3.4146643654096733,0.0019361139148652065
niet,3.4146643654096733,0.0008258903381548096
op,3.4146643654096733,0.0005213826791252119
zijn,3.4146643654096733,0.0009658503801932584
hij,3.4015784547922485,0.0009072184706906649
voor,3.3995845832435037,0.0005194913272057734
wat,3.3995845832435037,0.00039781435372189685
maar,3.387555391762144,0.0004564462632244902
ik,3.3805163112434915,0.0013554688755975884
mij,3.2906802023612385,0.00047914248625775216
mijn,3.1836606109055396,0.00034359559869799334
es,2.9330748787659475,0.00041798877419590747
windermere,2.928627644955325,0.000337291092299865
und,2.4910311729693246,0.0008832613463777774
sen,2.4740599339080056,0.0004394240959495438
das,2.4522794892070454,0.00046590302282168274
ei,2.445799522093858,0.0006771039871589814
chiltern,2.436657769676551,0.0003744876800488221
mutta,2.4209890815236945,0.00047472933177906235
niin,2.4209890815236945,0.0006115371206184469
oli,2.4096366343803677,0.0009078489213304778
joka,2.40568357565288,0.0004060102120394637
kuin,2.403717026285279,0.0004640116709022442
nicht,2.348923212077501,0.00035179145701556017
zu,2.3335221498242147,0.000400966606920961
sie,2.29932967587294,0.0005730796315898642
ich,2.2510456689586102,0.0006720603820404787
